respondent_id,h1n1_vaccine,seasonal_vaccine
26707,0.0029576034,0.038259417
26708,0.052357454,0.005338661
26709,0.022785474,0.9641861
26710,0.9999982,0.9907958
26711,0.040714495,0.16611762
26712,0.12302915,0.91809565
26713,0.078167535,0.38348415
26714,0.16463505,0.13470341
26715,0.009734647,0.005009139
26716,0.04197054,0.98065007
26717,0.012936216,0.98359203
26718,0.9892509,0.056622654
26719,0.017128494,0.983924
26720,0.0067050536,0.02357841
26721,0.13750242,1.0
26722,0.10318065,0.016835913
26723,0.08469724,1.0
26724,0.101216175,0.983924
26725,0.0023795383,0.07801464
26726,3.757326e-06,5.1803208e-11
26727,0.20176625,0.9826757
26728,0.047172666,0.06235201
26729,0.064541146,1.0
26730,0.07003787,0.14556704
26731,0.006016334,0.78555185
26732,0.06772431,0.08594236
26733,0.99997747,0.99998176
26734,0.9997253,0.0072930534
26735,0.27140766,0.9134928
26736,0.0147498725,0.056280587
26737,0.016953986,0.0715824
26738,1.0,0.9999976
26739,0.0059643527,0.15751936
26740,0.0009869895,2.7331003e-05
26741,0.11031086,0.9999999
26742,0.0012984984,0.107147336
26743,0.019909216,0.7574248
26744,0.9566839,0.98336005
26745,0.09208916,0.983924
26746,0.062223706,0.84732085
26747,0.022659868,0.109141044
26748,0.03383612,0.0006592281
26749,0.095431425,0.97217023
26750,0.9999846,0.9465847
26751,0.99989116,0.9501745
26752,0.14043047,0.0661425
26753,0.14797772,0.6035027
26754,0.0075975745,0.6780262
26755,0.011146099,0.008883086
26756,0.0003570193,2.3223625e-18
26757,0.09050757,1.0
26758,1.0,0.9113206
26759,0.0116079375,0.11027874
26760,0.012618726,0.16063464
26761,0.038589183,0.19453564
26762,0.37006232,0.90880764
26763,0.49339703,1.0
26764,1.0,1.0
26765,0.022253046,0.9959629
26766,0.0048497017,0.16036949
26767,0.9999999,0.99997866
26768,0.0009882306,0.23633593
26769,0.023943674,0.13578498
26770,0.040212613,0.96091884
26771,0.0001055543,0.0033034426
26772,0.06346677,0.15414481
26773,5.7020632e-05,0.14776897
26774,0.00087620044,0.08305562
26775,0.009793461,0.9756285
26776,0.08387778,0.8455353
26777,0.014666323,0.99994695
26778,0.013454736,6.0401853e-06
26779,0.04635128,0.9661546
26780,0.2878624,0.99937016
26781,0.13334562,0.093560964
