respondent_id,h1n1_vaccine,seasonal_vaccine
26707,0.021288443,0.16548717
26708,0.012312854,0.04477175
26709,0.29278764,0.6888532
26710,0.4851157,0.8014863
26711,0.2100347,0.36534834
26712,0.4195049,0.8184928
26713,0.354461,0.5534682
26714,0.077853166,0.15930529
26715,0.015277146,0.1444143
26716,0.12494605,0.8184928
26717,0.004376675,0.27154142
26718,0.17719284,0.49090672
26719,0.03431773,0.8184928
26720,0.024492195,0.29815793
26721,0.33528632,0.41743422
26722,0.046796303,0.104295954
26723,0.6099586,0.8184928
26724,0.05751837,0.7859752
26725,0.008932951,0.067723215
26726,0.0047655334,0.011740385
26727,0.30688083,0.8184928
26728,0.094378725,0.5625592
26729,0.5831658,0.8184928
26730,0.023216847,0.14258517
26731,0.011526406,0.20549697
26732,0.030601619,0.12132982
26733,0.61037433,0.81784385
26734,0.61037433,0.5338288
26735,0.09117406,0.4550164
26736,0.032706834,0.14553276
26737,0.024159528,0.051895875
26738,0.60589623,0.81773835
26739,0.08676407,0.24132954
26740,0.040630523,0.080721684
26741,0.18110093,0.8184928
26742,0.044440877,0.30604973
26743,0.020699209,0.5339626
26744,0.022186516,0.8184928
26745,0.088875495,0.8184928
26746,0.10309865,0.35983962
26747,0.061026607,0.19684859
26748,0.04112464,0.04212268
26749,0.052143443,0.71804214
26750,0.61037433,0.8184928
26751,0.22614829,0.6992155
26752,0.014512361,0.061425485
26753,0.15551072,0.66828114
26754,0.06338109,0.63626313
26755,0.073783815,0.4465123
26756,0.004187701,0.02751278
26757,0.30142847,0.49631706
26758,0.61037433,0.8184788
26759,0.01476045,0.18586688
26760,0.0057231467,0.037809394
26761,0.1414875,0.7204174
26762,0.067060865,0.8184928
26763,0.61037433,0.8184928
26764,0.61037433,0.8184928
26765,0.053927198,0.8184928
26766,0.044641573,0.13091394
26767,0.61037433,0.7219268
26768,0.009435448,0.3384301
26769,0.09115645,0.22323778
26770,0.048931565,0.56399643
26771,0.006404346,0.18417327
26772,0.013916899,0.34223428
26773,0.0062774234,0.2861075
26774,0.012221164,0.48673996
26775,0.036172844,0.5802519
26776,0.40510553,0.36847755
26777,0.053889126,0.8184928
26778,0.112058505,0.11338097
26779,0.0850346,0.61331093
26780,0.065076806,0.8184928
26781,0.10232247,0.41057044
26782,0.025014844,0.23058118
26783,0.039031334,0.26448008
26784,0.4431929,0.8184928
26785,0.4190632,0.56066376
26786,0.05674588,0.20963973
26787,0.053858552,0.5454536
26788,0.09673254,0.8184928
26789,0.0032303315,0.2624642
26790,0.02624175,0.22854595
26791,0.035609193,0.10127334
26792,0.120534874,0.7844805
26793,0.057055723,0.8184928
26794,0.61037433,0.8184928
26795,0.017346185,0.8184928
26796,0.018187864,0.028829793
26797,0.104117885,0.7103158
26798,0.18046363,0.17664997
26799,0.2979826,0.27567574
26800,0.01061013,0.8184928
26801,0.23835064,0.31313998
26802,0.03793579,0.16813406
26803,0.030828973,0.17209144
26804,0.033191796,0.08054203
26805,0.033067387,0.21382533
26806,0.042375028,0.8184928
26807,0.59824556,0.8184928
26808,0.20398045,0.54045194
26809,0.603617,0.3312877
26810,0.025381548,0.09802338
26811,0.019751914,0.03717569
26812,0.05745324,0.77701336
26813,0.20980288,0.29631406
26814,0.0067965565,0.67227477
26815,0.009844942,0.04785446
26816,0.044293333,0.16273598
26817,0.11131425,0.7848495
26818,0.05920579,0.20537934
26819,0.24219215,0.38103354
26820,0.06691099,0.18868424
26821,0.060217,0.7043429
26822,0.19463839,0.74558634
26823,0.3166668,0.48581356
26824,0.006040135,0.7945224
26825,0.25790265,0.48267162
26826,0.058131848,0.8035629
26827,0.0070339944,0.111979954
26828,0.09861823,0.5201971
26829,0.53007823,0.8184871
26830,0.033948362,0.8184928
26831,0.1779527,0.8184928
26832,0.11047487,0.8184928
26833,0.0023190503,0.62436885
26834,0.13094518,0.39762864
26835,0.4244379,0.8184928
26836,0.108550005,0.7185987
26837,0.03662673,0.030636657
26838,0.074861966,0.47437853
26839,0.18540448,0.47092724
26840,0.046349965,0.11904527
26841,0.55997396,0.78733957
26842,0.022501731,0.15346389
26843,0.01737324,0.05586735
26844,0.05258728,0.46714485
26845,0.024609437,0.7841063
26846,0.047313508,0.8184928
26847,0.4057447,0.25873184
26848,0.020364948,0.8184928
26849,0.21805044,0.6033277
26850,0.4231603,0.5174575
26851,0.0078048445,0.055122603
26852,0.0056180013,0.056619927
26853,0.5710467,0.57662064
26854,0.0055189906,0.031043796
26855,0.52738196,0.8179333
26856,0.07114472,0.0273153
26857,0.27718234,0.2521995
26858,0.1311391,0.6573158
26859,0.034549247,0.07698369
26860,0.09368278,0.15952839
26861,0.032469578,0.08792452
26862,0.05486957,0.24552445
26863,0.16982506,0.47252437
26864,0.59192926,0.393379
26865,0.0020085836,0.023758259
26866,0.16629659,0.5905936
26867,0.04792313,0.09647687
26868,0.61037433,0.8184928
26869,0.041274082,0.24526069
26870,0.6029883,0.8179045
26871,0.027822375,0.06547513
26872,0.011820219,0.20339067
26873,0.081674024,0.5276975
26874,0.028359292,0.0897104
26875,0.61037433,0.81848824
26876,0.034249824,0.031890515
26877,0.011792909,0.038776353
26878,0.15427047,0.23591211
26879,0.0036456822,0.028443234
26880,0.048343793,0.12092666
26881,0.010998224,0.11344917
26882,0.00286615,0.023237547
26883,0.040616974,0.25806794
26884,0.12194066,0.25670123
26885,0.17679399,0.7669638
26886,0.074937016,0.7742558
26887,0.55429035,0.81777567
26888,0.61037433,0.8177246
26889,0.019578138,0.19580708
26890,0.057386205,0.3405731
26891,0.28729525,0.6979804
26892,0.102438614,0.81820697
26893,0.008052274,0.069030866
26894,0.13932458,0.2486325
26895,0.020632003,0.8184928
26896,0.013668819,0.021400046
26897,0.015529215,0.5278226
26898,0.15967427,0.59820944
26899,0.011463953,0.033982646
26900,0.0746071,0.2018271
26901,0.0034470505,0.34923828
26902,0.2764104,0.8184928
26903,0.079244696,0.06919342
26904,0.018649803,0.21154536
26905,0.27650768,0.78271276
26906,0.025312426,0.3087127
26907,0.0011256482,0.6857099
26908,0.08935358,0.8184928
26909,0.22998431,0.28965324
26910,0.13771841,0.25082484
26911,0.018723892,0.048315886
26912,0.31142598,0.8184928
26913,0.61037433,0.8161621
26914,0.022808012,0.081995934
26915,0.09265396,0.61127305
26916,0.035960734,0.32601118
26917,0.0066633453,0.022795228
26918,0.61037433,0.8184928
26919,0.22205342,0.60259616
26920,0.010069575,0.089239374
26921,0.056879595,0.8184928
26922,0.022159282,0.8184928
26923,0.084692314,0.49936002
26924,0.61037433,0.8184928
26925,0.07018366,0.735694
26926,0.5746586,0.54414916
26927,0.29119465,0.76100343
26928,0.026835615,0.46765015
26929,0.06788529,0.23814397
26930,0.61037433,0.8184503
26931,0.04735873,0.31214258
26932,0.016395519,0.8184928
26933,0.03120805,0.6360118
26934,0.48378,0.66235846
26935,0.119855665,0.51930624
26936,0.31821477,0.32226995
26937,0.27586925,0.8184928
26938,0.025863076,0.040320437
26939,0.028702697,0.104152024
26940,0.05396409,0.14300802
26941,0.05055375,0.39688483
26942,0.61037433,0.8174595
26943,0.077694744,0.6074282
26944,0.035895612,0.10773298
26945,0.08087858,0.56438375
26946,0.06948114,0.8115116
26947,0.1582498,0.6297034
26948,0.007907706,0.025069403
26949,0.011028956,0.051692583
26950,0.02134206,0.5803543
26951,0.026819889,0.25321135
26952,0.61037433,0.8184928
26953,0.61037433,0.8184928
26954,0.011403832,0.10429368
26955,0.11202681,0.7181579
26956,0.08589815,0.2381586
26957,0.01104095,0.8184928
26958,0.3278384,0.8161361
26959,0.0055751433,0.30524704
26960,0.0117126,0.034632824
26961,0.2801734,0.51329464
26962,0.12954555,0.8184928
26963,0.11363328,0.2656293
26964,0.07519603,0.2950776
26965,0.61037433,0.8184928
26966,0.014238434,0.044576503
26967,0.08835244,0.39008203
26968,0.014310384,0.8184928
26969,0.016128285,0.12032007
26970,0.58084077,0.4932091
26971,0.050577186,0.1906399
26972,0.0040610866,0.017156709
26973,0.012747043,0.1903864
26974,0.057169165,0.32406026
26975,0.048804678,0.7076644
26976,0.61037433,0.65861446
26977,0.04510333,0.3371206
26978,0.0023072714,0.8184928
26979,0.19841684,0.6742551
26980,0.04073088,0.08632374
26981,0.032796185,0.28004286
26982,0.61037433,0.8184928
26983,0.15569954,0.5454887
26984,0.03945153,0.1297769
26985,0.0099313725,0.055529878
26986,0.09072026,0.36985984
26987,0.054851383,0.16876404
26988,0.014361355,0.08164159
26989,0.38773128,0.8184928
26990,0.0040191975,0.08700937
26991,0.23103637,0.39974278
26992,0.2702488,0.32193905
26993,0.083949484,0.8184928
26994,0.07172419,0.3844648
26995,0.14143859,0.6052735
26996,0.16536792,0.23413603
26997,0.009935124,0.042781983
26998,0.015660899,0.047295254
26999,0.42481425,0.52799606
27000,0.06546494,0.30018026
27001,0.025237251,0.8184928
27002,0.0039466103,0.2136288
27003,0.0051285876,0.02443887
27004,0.054760456,0.25467345
27005,0.37326717,0.71690047
27006,0.61037433,0.8184928
27007,0.008062899,0.0633787
27008,0.019114915,0.07071341
27009,0.040840093,0.2332234
27010,0.022530288,0.08984928
27011,0.043156914,0.11659299
27012,0.3322764,0.6172573
27013,0.080593646,0.3008485
27014,0.0029592405,0.41707245
27015,0.05870467,0.22222763
27016,0.116629586,0.36879578
27017,0.33115786,0.7605604
27018,0.023180021,0.21829294
27019,0.61037433,0.8184404
27020,0.1408703,0.2140671
27021,0.23454708,0.6435565
27022,0.12047885,0.17886946
27023,0.060140114,0.21787307
27024,0.0906894,0.3372084
27025,0.042401496,0.04042624
27026,0.02242795,0.4374301
27027,0.057291955,0.8184928
27028,0.2862788,0.8184928
27029,0.08465543,0.26118758
27030,0.09417223,0.17515884
27031,0.18011937,0.8184928
27032,0.13242209,0.50757617
27033,0.2888659,0.6646074
27034,0.008074169,0.6375628
27035,0.20272186,0.39280513
27036,0.16219379,0.80278534
27037,0.57747597,0.73962396
27038,0.0033071265,0.014430277
27039,0.61037433,0.8184928
27040,0.14531086,0.26864177
27041,0.09206269,0.6397744
27042,0.027940389,0.6450779
27043,0.5231227,0.8057134
27044,0.0027573232,0.0346664
27045,0.115050904,0.48991737
27046,0.018672979,0.09897884
27047,0.5763705,0.42799056
27048,0.11605935,0.35284555
27049,0.26313666,0.8184928
27050,0.019300593,0.5002493
27051,0.07830337,0.22244954
27052,0.05278452,0.18326584
27053,0.61037433,0.81841314
27054,0.009116527,0.054011203
27055,0.06496534,0.8184928
27056,0.012209029,0.041786507
27057,0.00395068,0.0050057317
27058,0.61037433,0.8175432
27059,0.020610172,0.11187028
27060,0.0079461625,0.41618428
27061,0.07456236,0.49951565
27062,0.01629857,0.3297366
27063,0.02110955,0.6000275
27064,0.1982344,0.48935732
27065,0.041125625,0.4113935
27066,0.020182353,0.55321413
27067,0.42355523,0.8184928
27068,0.61037433,0.818084
27069,0.49740016,0.8184928
27070,0.0069517074,0.029877147
27071,0.020394392,0.052732464
27072,0.021392854,0.80203056
27073,0.0104734395,0.8184928
27074,0.025926838,0.13274193
27075,0.5799833,0.81606793
27076,0.5856483,0.8149944
27077,0.007381769,0.08604465
27078,0.15832369,0.8184928
27079,0.18309909,0.8184928
27080,0.03945399,0.23780523
27081,0.0058593387,0.8184928
27082,0.24204908,0.4016674
27083,0.033833776,0.25512078
27084,0.61037433,0.77095354
27085,0.009436807,0.03283598
27086,0.021118734,0.12699932
27087,0.12529008,0.27510384
27088,0.19347619,0.7182647
27089,0.03420924,0.13201258
27090,0.2149925,0.6543569
27091,0.5145591,0.42714792
27092,0.10658484,0.2963209
27093,0.24093896,0.25982141
27094,0.005324965,0.07930476
27095,0.04675336,0.5573756
27096,0.015720345,0.14276777
27097,0.45475218,0.6539185
27098,0.36732775,0.8184928
27099,0.13027367,0.45143342
27100,0.051831543,0.8086141
27101,0.06579635,0.5910342
27102,0.028209345,0.8184928
27103,0.0073764464,0.02998657
27104,0.2584246,0.5149347
27105,0.051725186,0.54280746
27106,0.57597286,0.81847614
27107,0.47178632,0.68880194
27108,0.15507391,0.33680376
27109,0.028169483,0.21821326
27110,0.062104095,0.33105665
27111,0.01261331,0.3907181
27112,0.16324121,0.435721
27113,0.023987228,0.10341224
27114,0.059943084,0.18127096
27115,0.59058374,0.8169023
27116,0.10946434,0.8184928
27117,0.011817724,0.040034372
27118,0.115076385,0.5016041
27119,0.015700068,0.09617023
27120,0.37130156,0.8184928
27121,0.0036528076,0.7684064
27122,0.029916225,0.2539659
27123,0.022691146,0.095709205
27124,0.004934664,0.10974608
27125,0.015384483,0.0717514
27126,0.18648115,0.11932032
27127,0.026426377,0.08912861
27128,0.1893465,0.60912704
27129,0.47733897,0.5698247
27130,0.058465313,0.15435216
27131,0.012735592,0.12560453
27132,0.35616744,0.8184928
27133,0.062002465,0.55441505
27134,0.61037433,0.8184928
27135,0.13822414,0.4789027
27136,0.04688562,0.476664
27137,0.021012574,0.12822765
27138,0.24544203,0.59986764
27139,0.053014707,0.12169023
27140,0.61037433,0.8184928
27141,0.55088246,0.7863732
27142,0.030915752,0.23072177
27143,0.23866335,0.41910836
27144,0.022444138,0.059108563
27145,0.32334128,0.57629365
27146,0.035047047,0.8184928
27147,0.025794435,0.08137383
27148,0.17172766,0.18333581
27149,0.25796917,0.14808
27150,0.61037433,0.8184928
27151,0.093055,0.8184928
27152,0.0053092353,0.11332863
27153,0.124542356,0.8184928
27154,0.59816027,0.8184928
27155,0.12256528,0.689822
27156,0.0051509608,0.29588616
27157,0.0013034298,0.6424501
27158,0.037327334,0.34491944
27159,0.014029222,0.079819724
27160,0.17715615,0.32419145
27161,0.4307421,0.58083415
27162,0.072518,0.8184928
27163,0.5669428,0.54899883
27164,0.14665224,0.14118071
27165,0.41096103,0.5118643
27166,0.22724327,0.40854043
27167,0.06061266,0.4877219
27168,0.09910467,0.67810905
27169,0.48427212,0.64463174
27170,0.2981141,0.8184928
27171,0.015480471,0.208044
27172,0.020149283,0.8184928
27173,0.2436535,0.46585375
27174,0.045643818,0.086364925
27175,0.047324385,0.078680426
27176,0.5223936,0.8184928
27177,0.61037433,0.8184928
27178,0.115071304,0.29353532
27179,0.05664106,0.24902105
27180,0.23621918,0.42366907
27181,0.0038648797,0.8184928
27182,0.5603877,0.8184928
27183,0.0117709525,0.7485155
27184,0.019268949,0.18950473
27185,0.45550355,0.7766918
27186,0.055341747,0.8184928
27187,0.034906212,0.07940441
27188,0.029140785,0.3017476
27189,0.015497064,0.8184928
27190,0.37689644,0.8163453
27191,0.080349594,0.8184928
27192,0.49911,0.80227274
27193,0.0047412715,0.048953272
27194,0.036725152,0.27619928
27195,0.0057508214,0.16298765
27196,0.28916293,0.1956504
27197,0.05398177,0.68265235
27198,0.61037433,0.81802845
27199,0.016489638,0.1628231
27200,0.17288646,0.5638836
27201,0.61037433,0.8184928
27202,0.014192346,0.0847698
27203,0.0073955925,0.088846475
27204,0.0043871244,0.034440283
27205,0.060499076,0.2173576
27206,0.14342567,0.40181646
27207,0.06886177,0.17727917
27208,0.61037433,0.71816146
27209,0.107742146,0.2804724
27210,0.3171395,0.33445117
27211,0.05083243,0.25138572
27212,0.4384603,0.8184928
27213,0.48740736,0.46876806
27214,0.006140149,0.042941373
27215,0.16853799,0.8184928
27216,0.07351883,0.8184928
27217,0.0838455,0.29242277
27218,0.61037433,0.8184928
27219,0.4182657,0.69996893
27220,0.073266305,0.44273087
27221,0.15579937,0.78030974
27222,0.16310175,0.60635304
27223,0.019025564,0.8184928
27224,0.13381752,0.6133325
27225,0.159931,0.22442865
27226,0.00622338,0.094191104
27227,0.1147126,0.38051462
27228,0.34886134,0.8184928
27229,0.61037433,0.8184928
27230,0.12393456,0.8184928
27231,0.46748117,0.8184928
27232,0.040702958,0.626735
27233,0.32148418,0.28448522
27234,0.049678832,0.11730146
27235,0.61037433,0.8184928
27236,0.032880016,0.8184928
27237,0.16337654,0.75620407
27238,0.35890844,0.8128885
27239,0.4371711,0.3376915
27240,0.1503668,0.39989802
27241,0.027960788,0.12164632
27242,0.058288373,0.476662
27243,0.016279034,0.09680145
27244,0.008120844,0.041736536
27245,0.11916048,0.40702754
27246,0.61037433,0.8184928
27247,0.10480833,0.8184928
27248,0.05500633,0.70424044
27249,0.09046472,0.652392
27250,0.05448729,0.2110687
27251,0.0926201,0.3701792
27252,0.33500782,0.5006848
27253,0.023277871,0.8184928
27254,0.61037433,0.81839734
27255,0.10006108,0.24071838
27256,0.56603605,0.8184928
27257,0.3875103,0.43590313
27258,0.35033047,0.81674737
27259,0.5329839,0.8184928
27260,0.112653926,0.42806956
27261,0.06244917,0.77764547
27262,0.12130397,0.44140863
27263,0.04827718,0.0828073
27264,0.025616461,0.11546963
27265,0.010736696,0.1264998
27266,0.12618893,0.28805766
27267,0.093595065,0.5507531
27268,0.02449026,0.048223596
27269,0.61037433,0.5174968
27270,0.010887611,0.07363853
27271,0.035399567,0.20537445
27272,0.003987863,0.66336083
27273,0.009226781,0.18215995
27274,0.08329691,0.501747
27275,0.083853185,0.34128788
27276,0.005031543,0.07221196
